Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor,Price_Increase
1980-03-13,14.639101028,14.639101028,14.31046772,14.370220184,0.940977768,2347224.0,0.0,9,0.065481096,Down
1980-03-14,,14.519598007,14.250717163,14.31046772,0.937065111,2033006.0,0.0,7,0.065481096,Down
1980-03-17,,,14.131214142,14.131214142,0.92532739,1735105.0,0.0,3,,Down
1980-03-18,14.131214142,14.40009594,14.011711121,14.250717163,0.933152579,2065222.0,,5,0.065481096,Up
1980-03-19,14.250717163,14.280592918,14.041586876,14.071462631,0.921414796,1541804.0,0.0,3,0.065481096,Down
1980-03-20,14.071462631,14.161089897,13.862333298,,0.91163331,2005391.0,0.0,8,0.065481096,Down
1980-03-21,13.892208099,13.892208099,13.444072723,13.563575745,0.888157806,6192320.0,0.0,10,0.065481096,Down
1980-03-24,13.473947525,,12.906310081,12.936184883,0.847075565,3011643.0,0.0,2,0.065481096,Down
1980-03-25,12.936184883,13.175190926,12.906310081,13.08556366,0.856857051,3138837.0,0.0,9,0.065481096,Up
1980-03-26,13.08556366,13.354446411,12.547801018,12.667304039,0.829468952,3266030.0,0.0,6,0.065481096,Down
1980-03-27,12.667304039,13.742830276,12.278920174,13.742830276,0.899895589,,0.0,6,,Up
1980-03-28,13.473947525,13.473947525,12.936184883,,0.874463788,2420026.0,,9,0.065481096,Down
1980-03-31,13.354446411,13.354446411,13.055687904,13.324569702,0.872507428,1627576.0,0.0,0,0.065481096,Down
1980-04-01,13.324569702,13.324569702,13.025813103,13.115440369,0.85881341,2257268.0,0.0,0,0.065481096,Down
1980-04-02,13.115440369,13.384321213,13.055687904,13.264818192,0.868594834,15629332.0,0.0,9,0.065481096,Up
1980-04-03,,13.354446411,13.055687904,13.115440369,0.85881341,1417539.0,0.0,7,0.065481096,Down
1980-04-07,13.115440369,13.115440369,12.756931305,12.756931305,0.835337844,2294087.0,0.0,4,0.065481096,Down
1980-04-08,12.756931305,13.324569702,12.667304039,12.78680706,0.837294141,2184048.0,0.0,5,0.065481096,Up
1980-04-09,12.78680706,,12.756931305,13.055687904,0.854900753,2145974.0,0.0,5,0.065481096,Up
1980-04-10,,13.205066681,12.906310081,12.966060638,0.849031862,2112502.0,0.0,1,0.065481096,Down
1980-04-11,12.966060638,13.14531517,12.78680706,12.78680706,0.837294141,2726713.0,0.0,3,0.065481096,Down
1980-04-14,12.78680706,12.846557617,12.607552528,12.667304039,0.829468952,1397874.0,0.0,1,0.065481096,Down
1980-04-15,12.667304039,12.78680706,12.398423195,12.428297997,0.813818575,2426302.0,0.0,6,0.065481096,Down
1980-04-16,12.428297997,12.637428284,12.189292908,12.219167709,0.800124494,2812903.0,0.0,3,0.065481096,Down
1980-04-17,12.219167709,12.338670731,12.039914131,12.249044418,0.802080854,1886984.0,0.0,3,0.065481096,Up
1980-04-18,12.249044418,12.36854744,12.159417152,12.249044418,0.802080854,1723390.0,0.0,0,0.065481096,Down
1980-04-21,12.249044418,12.338670731,12.069789886,12.249044418,0.802080854,2777339.0,0.0,5,0.065481096,Down
1980-04-22,12.428297997,13.025813103,12.428297997,12.876434326,0.843163033,3438411.0,0.0,9,0.065481096,Up
1980-04-23,12.876434326,12.995937347,12.727054596,12.78680706,,3185698.0,0.0,6,0.065481096,Down
1980-04-24,12.78680706,12.966060638,12.727054596,12.846557617,0.841206673,1556448.0,0.0,5,0.065481096,Up
1980-04-25,12.846557617,13.23494339,12.637428284,13.23494339,0.866638599,1706235.0,0.0,2,0.065481096,Up
1980-04-28,13.23494339,13.23494339,,13.025813103,0.852944519,1941376.0,0.0,6,0.065481096,Down
1980-04-29,13.025813103,13.175190926,12.936184883,13.115440369,0.85881341,1250598.0,0.0,2,0.065481096,Up
1980-04-30,13.115440369,13.175190926,12.816682816,,0.85881341,1467747.0,0.0,5,0.065481096,Down
1980-05-01,13.115440369,13.115440369,12.846557617,,0.850988221,1221310.0,0.0,9,0.065481096,Down
1980-05-02,12.995937347,12.995937347,12.876434326,12.906310081,0.84511933,1020059.0,0.0,1,0.065481096,Down
1980-05-05,,13.324569702,12.846557617,13.23494339,0.866638599,1442643.0,0.0,7,0.065481096,Down
1980-05-06,13.23494339,13.324569702,13.08556366,13.115440369,0.85881341,1483646.0,0.0,10,0.065481096,Down
1980-05-07,13.115440369,13.324569702,13.08556366,13.175190926,0.862725942,1735523.0,0.0,10,0.065481096,Up
1980-05-08,12.995937347,12.995937347,12.78680706,12.876434326,0.843163033,1624647.0,0.21,3,0.065481096,Down
1980-05-09,12.846557617,12.846557617,12.428297997,12.458173752,0.829008232,4372280.0,,10,0.066543319,Down
1980-05-12,12.458173752,12.667304039,12.458173752,12.488050461,0.830996328,1298714.0,0.0,7,0.066543319,Up
1980-05-13,12.517925262,,12.517925262,12.727054596,0.846900456,1839705.0,0.0,3,,Up
